study_id,treatment1,treatment2,TE,seTE,year
Anthenelli,nicotine_patch,placebo,-0.289,0.141,2016
Aubin,varenicline,placebo,-0.734,0.195,2008
Benli,nicotine_patch,placebo,-0.223,0.357,2017
Brandon,nicotine_patch,placebo,-0.336,0.143,2011
Cahill,nicotine_patch,varenicline,0.512,0.228,2013
Cinciripini,varenicline,placebo,-0.628,0.187,2013
Eisenberg,bupropion,placebo,-0.481,0.224,2008
Evins,varenicline,placebo,-0.895,0.312,2014
Gonzales,varenicline,placebo,-0.847,0.129,2006
Hays,bupropion,placebo,-0.423,0.189,2001
Hays,nicotine_patch,placebo,-0.378,0.178,2001
Hays,bupropion,nicotine_patch,-0.045,0.231,2001
Hurt,bupropion,placebo,-0.641,0.228,1997
Jorenby,bupropion,placebo,-0.563,0.128,1999
Jorenby,varenicline,placebo,-0.783,0.136,2006
Jorenby,varenicline,bupropion,-0.439,0.147,2006
Nides,varenicline,placebo,-0.821,0.176,2006
Oncken,varenicline,placebo,-0.742,0.201,2006
Rigotti,varenicline,placebo,-0.597,0.281,2010
Rose,nicotine_patch,placebo,-0.113,0.334,2013
Swan,bupropion,placebo,-0.394,0.183,2003
Tonstad,varenicline,placebo,-0.678,0.225,2006
Tsai,nicotine_patch,placebo,-0.446,0.294,2007
Tulloch,bupropion,placebo,-0.498,0.237,2016
Williams,varenicline,placebo,-0.712,0.249,2007
