study_id,events_exp,n_exp,events_ctrl,n_ctrl,year,author
CIBIS-II,156,1327,228,1320,1999,CIBIS-II Investigators
COPERNICUS,190,1156,222,1133,2001,Packer et al
MERIT-HF,145,1990,217,2001,1999,MERIT-HF Study Group
BEST,411,1354,449,1348,2001,BEST Investigators
COPERNIC US-EXT,58,466,68,464,2004,Krum et al
SENIORS,135,1067,139,1061,2005,Flather et al
COMET,512,1511,524,1518,2003,Poole-Wilson et al
CHRISTMAS,19,151,22,147,2003,Krum et al
MDC-TRIAL,23,194,26,189,1993,Waagstein et al
US-CARVEDILOL,22,698,40,696,1996,Packer et al
CARVEMILO,26,146,23,148,2002,Sanderson et al
PRECISE,69,278,92,280,1996,Packer et al
