meta_analysis_id,study_id,author,year,journal,pmid,country,intervention,intervention_dose,comparator,n_intervention,n_comparator,outcome_type,events_intervention,events_comparator,mean_intervention,sd_intervention,mean_comparator,sd_comparator,hazard_ratio,hr_ci_lower,hr_ci_upper,follow_up_months,age_mean,age_sd,percent_male,percent_white,disease_severity,comorbidities,rob_random_sequence,rob_allocation_concealment,rob_blinding_participants,rob_blinding_outcome,rob_incomplete_outcome,rob_selective_reporting,rob_other_bias,rob_overall,industry_funding,multi_center,therapeutic_area,disease_indication,intervention_class,outcome_measure
META001,ARCT001,Howard,2020,Haematologica,36047429,Netherlands,Pembrolizumab,200mg Q3W,Chemotherapy,1793,716,survival,,,,,,,0.56,0.47,0.64,24,61.3,12.8,71,53,Severe,None,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT002,Stewart,2021,NEJM,37215643,Chile,Pembrolizumab,200mg Q3W,Chemotherapy,648,1227,survival,,,,,,,0.64,0.54,0.76,48,71.3,12.9,69,85,Severe,Diabetes+HTN,low,low,low,low,low,low,low,low,no,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT003,Miller,2019,NEJM,31117530,Norway,Pembrolizumab,200mg Q3W,Chemotherapy,1609,1986,survival,,,,,,,0.79,0.69,0.93,48,67.8,8.3,54,53,Moderate-severe,None,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT004,Jones,2023,JACC,36453459,Spain,Pembrolizumab,200mg Q3W,Chemotherapy,571,1872,survival,,,,,,,0.68,0.58,0.79,24,58.7,13.0,66,78,Severe,Multiple,low,low,low,low,low,low,low,low,no,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT005,Brown,2024,Ann Rheum Dis,37017354,Japan,Pembrolizumab,200mg Q3W,Chemotherapy,1020,679,survival,,,,,,,0.74,0.62,0.84,24,59.3,13.4,50,63,Moderate-severe,Multiple,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT006,Sanchez,2023,Gut,31097473,India,Pembrolizumab,200mg Q3W,Chemotherapy,537,1359,survival,,,,,,,0.62,0.49,0.71,24,60.2,8.3,66,67,Advanced,Multiple,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT007,Myers,2024,JACC,36476770,China,Pembrolizumab,200mg Q3W,Chemotherapy,1386,1771,survival,,,,,,,0.55,0.44,0.66,24,70.2,10.2,67,79,Advanced,None,low,low,low,low,low,low,low,low,no,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT008,Jackson,2019,Neurology,31213640,Switzerland,Pembrolizumab,200mg Q3W,Chemotherapy,1232,731,survival,,,,,,,0.66,0.57,0.76,24,67.7,12.3,59,61,Refractory,None,low,low,low,low,low,low,low,low,no,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT009,Stewart,2019,Rheumatology,32575552,Italy,Pembrolizumab,200mg Q3W,Chemotherapy,1854,1547,survival,,,,,,,0.54,0.45,0.64,48,59.0,10.0,63,50,Moderate-severe,CVD,low,low,low,low,low,low,low,low,no,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
META001,ARCT010,Martinez,2022,Rheumatology,34314652,UK,Pembrolizumab,200mg Q3W,Chemotherapy,1660,839,survival,,,,,,,0.69,0.58,0.81,24,61.9,13.8,73,80,Severe,COPD,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,PD-1 inhibitor,Overall survival
