study_id,author,year,treatment,outcome,mean,sd,n,risk_of_bias
Study_101,Miller,2021,Treatment B,Pain Score,4.2,1.5,85,Low
Study_101,Miller,2021,Placebo,Pain Score,5.8,1.6,82,Low
Study_102,Clark,2020,Treatment B,Pain Score,3.9,1.4,95,Low
Study_102,Clark,2020,Placebo,Pain Score,5.5,1.7,90,Low
Study_103,Lewis,2022,Treatment B,Pain Score,4.5,1.6,75,Unclear
Study_103,Lewis,2022,Placebo,Pain Score,6.1,1.8,78,Unclear
Study_104,Walker,2019,Treatment B,Pain Score,4.1,1.3,100,Low
Study_104,Walker,2019,Placebo,Pain Score,5.9,1.5,98,Low
Study_105,Hall,2021,Treatment B,Pain Score,3.8,1.4,88,Low
Study_105,Hall,2021,Placebo,Pain Score,5.4,1.6,85,Low
