meta_analysis_id,study_id,author,year,journal,pmid,country,intervention,intervention_dose,comparator,n_intervention,n_comparator,outcome_type,events_intervention,events_comparator,mean_intervention,sd_intervention,mean_comparator,sd_comparator,hazard_ratio,hr_ci_lower,hr_ci_upper,follow_up_months,age_mean,age_sd,percent_male,percent_white,disease_severity,comorbidities,rob_random_sequence,rob_allocation_concealment,rob_blinding_participants,rob_blinding_outcome,rob_incomplete_outcome,rob_selective_reporting,rob_other_bias,rob_overall,industry_funding,multi_center,therapeutic_area,disease_indication,intervention_class,outcome_measure
CMETA001,RCT001,Smith,2018,JAMA,29456789,USA,Amoxicillin,500mg TID,Placebo,142,138,binary,98,76,,,,,,,,,64.2,12.3,58,72,Moderate,Diabetes,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT002,Johnson,2019,Lancet,30123456,UK,Amoxicillin,500mg TID,Placebo,185,180,binary,128,95,,,,,,,,,62.8,11.8,62,68,Moderate,HTN,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT003,Williams,2017,NEJM,28567890,Canada,Amoxicillin,500mg TID,Placebo,96,94,binary,68,52,,,,,,,,,66.1,13.2,55,75,Moderate,COPD,low,low,low,low,unclear,low,low,unclear,no,no,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT004,Brown,2020,BMJ,31234567,Australia,Amoxicillin,500mg TID,Placebo,210,205,binary,152,118,,,,,,,,,61.5,12.8,60,70,Moderate,None,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT005,Jones,2016,Lancet Infect Dis,27890123,Germany,Amoxicillin,500mg TID,Placebo,128,125,binary,89,68,,,,,,,,,63.7,11.5,57,82,Mild,Diabetes,low,unclear,low,low,low,low,low,unclear,no,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT006,Garcia,2021,Clin Infect Dis,32345678,Spain,Amoxicillin,500mg TID,Placebo,165,162,binary,118,92,,,,,,,,,65.3,12.1,59,65,Moderate,CVD,low,low,low,low,low,low,low,low,yes,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT007,Martinez,2019,Ann Intern Med,30456789,USA,Amoxicillin,500mg TID,Placebo,142,138,binary,96,74,,,,,,,,,62.9,13.5,61,73,Moderate,CKD,unclear,low,low,low,low,low,low,unclear,no,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT008,Rodriguez,2018,Int J Antimicrob Agents,29567890,Mexico,Amoxicillin,500mg TID,Placebo,98,96,binary,72,58,,,,,,,,,64.8,11.9,56,68,Moderate,None,low,low,unclear,low,low,low,low,unclear,no,no,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT009,Hernandez,2020,J Antimicrob Chemother,31678901,Brazil,Amoxicillin,500mg TID,Placebo,175,172,binary,125,98,,,,,,,,,63.4,12.6,58,70,Mild,Diabetes,low,low,low,low,low,low,low,low,no,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT010,Lopez,2017,Antimicrob Agents Chemother,28789012,Chile,Amoxicillin,500mg TID,Placebo,112,108,binary,82,65,,,,,,,,,66.2,13.8,62,75,Moderate,COPD,low,low,low,low,unclear,low,low,unclear,no,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT011,Gonzalez,2019,Chest,30890123,Argentina,Amoxicillin,500mg TID,Placebo,188,185,binary,138,108,,,,,,,,,61.7,12.2,59,71,Moderate,Asthma,low,unclear,low,low,low,low,low,unclear,no,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA001,RCT012,Perez,2021,Eur Respir J,32901234,France,Amoxicillin,500mg TID,Placebo,155,152,binary,112,88,,,,,,,,,64.5,11.7,60,69,Moderate,CVD,low,low,low,low,low,low,low,low,yes,yes,Infectious disease,Acute respiratory infection,Antibiotic,Symptom resolution 7d
CMETA002,RCT013,Anderson,2019,Stroke,30234567,USA,Aspirin,100mg daily,Placebo,892,885,binary,68,95,,,,,,,,,68.5,10.2,52,78,High,Diabetes+HTN,low,low,unclear,low,low,low,low,unclear,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT014,Thomas,2018,Lancet Neurol,29345678,UK,Aspirin,100mg daily,Placebo,1245,1238,binary,102,148,,,,,,,,,67.8,11.5,54,75,High,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT015,Taylor,2020,NEJM,31456789,Canada,Aspirin,100mg daily,Placebo,765,758,binary,58,82,,,,,,,,,69.2,9.8,51,80,High,HTN+CKD,low,low,low,low,low,low,low,low,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT016,Moore,2017,JAMA Neurol,28567890,Australia,Aspirin,100mg daily,Placebo,1456,1448,binary,125,172,,,,,,,,,68.9,10.8,53,76,High,AFib,low,unclear,low,low,low,low,low,unclear,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT017,Martin,2019,Circulation,30678901,Germany,Aspirin,100mg daily,Placebo,982,975,binary,78,112,,,,,,,,,67.3,11.2,55,77,High,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT018,Jackson,2021,Ann Neurol,32789012,USA,Aspirin,100mg daily,Placebo,1125,1118,binary,92,135,,,,,,,,,69.5,10.5,50,79,High,HTN,low,low,low,low,low,low,low,low,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT019,White,2018,Neurology,29890123,France,Aspirin,100mg daily,Placebo,845,838,binary,65,92,,,,,,,,,68.1,11.8,52,74,High,CVD,unclear,low,low,low,low,low,low,unclear,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT020,Harris,2020,J Stroke,31901234,Japan,Aspirin,100mg daily,Placebo,1368,1362,binary,112,158,,,,,,,,,70.2,9.2,48,85,High,Diabetes+HTN,low,low,low,low,low,low,low,low,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT021,Lee,2019,Cerebrovasc Dis,30012345,South Korea,Aspirin,100mg daily,Placebo,725,718,binary,58,84,,,,,,,,,69.8,10.1,51,82,High,HTN,low,low,unclear,low,low,low,low,unclear,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT022,Kim,2017,Int J Stroke,28123456,China,Aspirin,100mg daily,Placebo,1589,1582,binary,135,188,,,,,,,,,67.6,11.5,53,78,High,AFib,low,low,low,low,low,low,low,low,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT023,Chen,2021,Stroke Vasc Neurol,32234567,Taiwan,Aspirin,100mg daily,Placebo,892,885,binary,72,102,,,,,,,,,68.7,10.9,52,76,High,Diabetes,low,low,low,low,low,low,low,low,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT024,Wang,2018,J Neurol,29345678,Singapore,Aspirin,100mg daily,Placebo,1125,1118,binary,95,132,,,,,,,,,69.1,10.3,54,79,High,HTN+CKD,low,unclear,low,low,low,low,low,unclear,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA002,RCT025,Liu,2020,Eur Stroke J,31456789,Hong Kong,Aspirin,100mg daily,Placebo,765,758,binary,62,88,,,,,,,,,68.4,11.1,51,77,High,CVD,low,low,low,low,low,low,low,low,yes,yes,Neurology,Secondary stroke prevention,Antiplatelet,Recurrent stroke
CMETA003,RCT026,Wilson,2020,Lancet Oncol,31567890,USA,Pembrolizumab,200mg Q3W,Chemotherapy,297,296,survival,,,,,,,,0.71,0.58,0.87,24,64.2,9.5,68,75,Advanced,ECOG 0-1,low,low,unclear,low,low,low,low,unclear,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT027,Davis,2019,NEJM,30678901,UK,Pembrolizumab,200mg Q3W,Chemotherapy,345,342,survival,,,,,,,,0.68,0.56,0.83,24,63.8,10.2,65,72,Advanced,ECOG 0-1,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT028,Miller,2021,J Clin Oncol,32789012,Canada,Pembrolizumab,200mg Q3W,Chemotherapy,412,408,survival,,,,,,,,0.73,0.61,0.88,24,62.5,11.3,70,68,Advanced,ECOG 1-2,low,low,low,low,low,low,low,low,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
CMETA003,RCT029,Brown,2020,Ann Oncol,31890123,Australia,Nivolumab,240mg Q2W,Chemotherapy,285,282,survival,,,,,,,,0.75,0.62,0.91,24,65.1,9.8,67,74,Advanced,ECOG 0-1,low,low,unclear,low,low,low,low,unclear,yes,yes,Oncology,Advanced NSCLC,Immunotherapy,Overall survival
