cea_id,study_type,publication_year,country,perspective,therapeutic_area,intervention_type,model_type,time_horizon_years,intervention_cost_usd,comparator_cost_usd,incremental_cost_usd,intervention_qalys,comparator_qalys,incremental_qalys,icer_per_qaly,wtp_threshold,ce_conclusion,deterministic_sa_conducted,probabilistic_sa_conducted,prob_ce_at_wtp,discount_rate_costs,discount_rate_outcomes,cheers_quality_score,efficacy_from_rct,utility_data_source,half_cycle_correction,scenario_analyses_n,subgroup_analyses,equity_considerations,funding_source
CEA0001,Cost-Effectiveness Analysis (CEA),2019,Canada,Healthcare payer,Cardiology,Surgical,Decision Tree,20,159880.83,116424.47,43456.36,9.298,5.4148,3.8832,11190.86,80000,Highly Cost-Effective,True,True,0.623,0.04,0.035,23,True,HUI,True,4,True,False,Industry
CEA0002,Cost-Effectiveness Analysis (CEA),2016,Japan,Healthcare payer,Mental Health,Digital Health,Decision Tree,30,21603.26,131616.11,-110012.85,7.4612,8.8714,-1.4102,78012.67,80000,Cost-Effective,True,True,0.425,0.035,0.04,14,True,HUI,False,7,False,False,Industry
CEA0003,Cost-Effectiveness Analysis (CEA),2020,France,Government,Neurology,Pharmaceutical,Hybrid,1,25851.78,25989.38,-137.6,13.2258,12.4149,0.8108,-169.7,80000,Dominant,True,True,0.41,0.035,0.05,17,True,Literature,True,0,False,False,Industry
CEA0004,Cost-Effectiveness Analysis (CEA),2022,Japan,Patient,Diabetes,Behavioral,Discrete Event Simulation,20,13669.0,10342.74,3326.26,3.5129,6.9097,-3.3968,-979.23,80000,Dominant,True,True,0.632,0.04,0.035,19,True,Literature,True,3,False,False,Government
CEA0005,Cost-Minimization Analysis (CMA),2018,Australia,Government,Cardiology,Diagnostic,Hybrid,30,86681.33,68865.81,17815.52,8.9956,9.9118,-0.9162,-19445.31,80000,Dominant,True,True,0.805,0.03,0.04,21,True,Literature,False,0,True,True,Government
CEA0006,Cost-Benefit Analysis (CBA),2015,Netherlands,Government,Oncology,Diagnostic,Markov,1,76148.19,62324.31,13823.88,7.4844,8.4384,-0.9541,-14489.48,80000,Dominant,True,False,,0.035,0.04,23,True,EQ-5D,True,3,True,False,Industry
CEA0007,Budget Impact Analysis (BIA),2017,USA,Healthcare payer,Infectious Disease,Diagnostic,Decision Tree,30,85803.14,51597.32,34205.81,11.1062,5.5494,5.5568,6155.7,100000,Highly Cost-Effective,True,True,0.661,0.05,0.04,18,False,Expert Opinion,True,1,True,False,Government
CEA0008,Cost-Effectiveness Analysis (CEA),2017,USA,Hospital,Rare Diseases,Digital Health,Markov,Lifetime,116111.1,64272.07,51839.04,3.8674,12.7201,-8.8527,-5855.74,100000,Dominant,True,True,0.164,0.03,0.04,14,True,HUI,False,4,False,True,Government
CEA0009,Cost-Benefit Analysis (CBA),2023,Canada,Healthcare payer,Infectious Disease,Surgical,Decision Tree,1,6932.33,147771.75,-140839.41,3.8916,10.3515,-6.4599,21802.05,80000,Highly Cost-Effective,True,True,0.488,0.05,0.03,17,True,Literature,False,4,False,False,Industry
CEA0010,Budget Impact Analysis (BIA),2023,Netherlands,Patient,Neurology,Device,Decision Tree,20,160414.11,141480.27,18933.84,5.7877,2.5846,3.2031,5911.14,80000,Highly Cost-Effective,True,True,0.685,0.05,0.05,16,False,Expert Opinion,True,0,True,True,Industry
