hta_id,agency,assessment_date,assessment_year,technology_category,therapeutic_area,n_rcts,n_observational_studies,total_patients_evidence,primary_endpoint_met,effect_size,serious_adverse_events_rate,discontinuation_rate,icer_per_qaly,willingness_to_pay_threshold,budget_impact_annual,certainty_of_evidence,cost_effectiveness_score,clinical_benefit_score,innovation_score,decision,reimbursement_rate,time_to_decision_months,market_exclusivity_years,managed_entry_agreement,manufacturer_appeals
HTA0001,IQWIG (Germany),2022-05-07,2022,Surgical Procedures,Gastroenterology,19,6,4526,True,0.501,0.0443,0.2778,13179.68,100000,72477878.45,Very Low,1.01,9.93,6.56,Restricted,0.683,14,16,True,False
HTA0002,CVZ (Netherlands),2021-09-03,2021,Diagnostic Tests,Respiratory,5,2,8938,True,-0.305,0.2377,0.388,122217.62,100000,31156763.15,High,7.16,4.96,2.1,Conditional,0.498,17,2,True,False
HTA0003,CADTH (Canada),2021-02-06,2021,Medical Devices,Gastroenterology,22,9,3943,True,2.409,0.196,0.3788,134749.97,100000,60192097.9,Very Low,1.8,2.76,1.41,Not Recommended,0.0,10,15,False,True
HTA0004,PBAC (Australia),2018-12-28,2018,Screening Programs,Immunology,13,8,5376,False,-0.425,0.2469,0.3203,33813.77,100000,1546689.6,Low,7.36,7.56,7.94,Recommended,0.815,9,8,False,False
HTA0005,IQWIG (Germany),2021-02-01,2021,Preventive Interventions,Gastroenterology,16,6,2554,False,0.166,0.1519,0.1462,86380.3,100000,38909760.6,Very Low,8.64,7.5,3.12,Restricted,0.577,11,14,False,False
HTA0006,CVZ (Netherlands),2018-04-04,2018,Diagnostic Tests,Respiratory,5,6,6474,True,1.767,0.0649,0.0769,47013.96,100000,16960907.44,Very Low,8.27,6.7,8.84,Recommended,0.961,14,19,False,False
HTA0007,CVZ (Netherlands),2024-01-01,2024,Immunotherapy,Hematology,20,12,5964,True,-0.006,0.1382,0.2197,105403.22,100000,27671821.05,Moderate,2.51,2.97,6.02,Conditional,0.462,19,19,False,False
HTA0008,IQWIG (Germany),2018-05-17,2018,Medical Devices,Neurology,24,0,798,True,1.008,0.0224,0.1475,136698.55,100000,24716627.18,High,5.41,9.87,3.18,Restricted,0.702,13,16,True,False
HTA0009,NCPE (Ireland),2019-06-22,2019,Digital Health,Endocrinology,11,14,6387,False,-0.179,0.0548,0.0643,90679.48,100000,68078871.82,High,5.61,3.04,6.81,Restricted,0.552,3,7,False,False
HTA0010,HAS (France),2020-12-25,2020,Screening Programs,Oncology,18,6,5634,False,-0.242,0.1684,0.336,85504.12,100000,53435407.26,Moderate,1.84,9.07,9.1,Restricted,0.69,11,8,False,False
HTA0011,G-BA (Germany),2023-08-01,2023,Surgical Procedures,Gastroenterology,24,3,1748,True,2.196,0.1555,0.0532,19713.37,100000,66686675.14,High,2.45,5.94,7.23,Restricted,0.696,11,3,True,False
HTA0012,NICE (UK),2024-03-17,2024,Digital Health,Endocrinology,1,11,9246,True,0.296,0.0686,0.3906,61999.17,50000,89312608.96,Low,8.15,5.52,6.19,Restricted,0.648,7,15,False,False
HTA0013,G-BA (Germany),2021-12-14,2021,Pharmaceuticals,Oncology,21,5,1160,False,-0.072,0.242,0.3873,128686.37,100000,30150440.31,Moderate,8.66,3.85,2.53,Restricted,0.667,5,7,False,False
HTA0014,HAS (France),2019-11-10,2019,Gene Therapy,Respiratory,2,9,884,False,-0.363,0.1801,0.2435,47993.97,100000,42558304.79,Moderate,6.5,1.73,1.05,Conditional,0.551,22,0,False,False
HTA0015,G-BA (Germany),2019-07-22,2019,Immunotherapy,Cardiology,19,8,3869,True,0.36,0.1518,0.0607,10415.49,100000,82437455.51,Moderate,2.14,5.7,7.93,Restricted,0.565,7,6,False,False
HTA0016,CADTH (Canada),2021-02-28,2021,Diagnostic Tests,Respiratory,10,13,9974,False,-0.229,0.1154,0.0775,8675.86,100000,96302193.05,Low,7.26,4.68,2.56,Conditional,0.363,4,15,False,False
HTA0017,PBAC (Australia),2024-05-22,2024,Pharmaceuticals,Respiratory,23,2,3247,True,-0.024,0.0388,0.1697,18310.86,100000,10321541.84,Moderate,9.82,2.58,1.15,Conditional,0.605,23,6,False,False
HTA0018,PBAC (Australia),2019-06-05,2019,Immunotherapy,Immunology,4,1,7490,True,2.3,0.1302,0.2388,104174.75,100000,61969265.27,Very Low,9.5,8.8,6.73,Recommended,0.96,14,17,False,False
HTA0019,G-BA (Germany),2022-03-11,2022,Pharmaceuticals,Oncology,5,11,8102,False,0.151,0.0596,0.1459,36115.42,100000,38348649.24,High,6.56,4.03,6.9,Restricted,0.616,12,1,False,False
HTA0020,IQWIG (Germany),2022-02-13,2022,Surgical Procedures,Immunology,11,12,7643,False,0.303,0.0777,0.1121,113839.14,100000,80876639.19,Very Low,4.71,4.35,7.99,Restricted,0.602,7,11,False,False
HTA0021,IQWIG (Germany),2018-01-17,2018,Preventive Interventions,Neurology,20,8,1465,True,-0.2,0.0228,0.3855,127835.76,100000,36135613.86,Very Low,7.09,5.34,5.44,Restricted,0.525,7,2,True,False
HTA0022,CADTH (Canada),2022-07-16,2022,Digital Health,Endocrinology,7,12,7960,True,-0.327,0.1419,0.2045,133717.11,100000,35740586.24,High,2.29,7.85,6.56,Restricted,0.53,9,13,True,False
HTA0023,CVZ (Netherlands),2020-10-02,2020,Preventive Interventions,Cardiology,5,12,5641,False,-0.126,0.099,0.3345,142351.04,100000,98614105.32,Low,4.39,1.75,7.99,Conditional,0.523,12,18,False,False
HTA0024,G-BA (Germany),2021-12-08,2021,Medical Devices,Immunology,9,6,3172,False,-0.262,0.1061,0.2172,17019.24,100000,53308642.01,Moderate,8.22,9.8,6.0,Recommended,0.865,18,10,False,False
HTA0025,PBAC (Australia),2020-04-25,2020,Surgical Procedures,Neurology,18,14,1356,True,0.383,0.249,0.2939,60709.27,100000,73972969.88,Very Low,9.63,1.52,4.55,Restricted,0.532,23,7,False,False
HTA0026,CADTH (Canada),2019-12-18,2019,Rehabilitation Technologies,Gastroenterology,5,8,4935,False,0.198,0.1387,0.1583,123000.28,100000,68788386.08,Moderate,9.2,8.4,9.55,Recommended,0.945,17,1,False,False
HTA0027,CVZ (Netherlands),2020-05-23,2020,Screening Programs,Cardiology,24,0,2293,False,-0.35,0.1526,0.1833,145637.59,100000,84369773.39,Low,5.22,4.73,3.46,Conditional,0.323,8,16,True,False
HTA0028,PBAC (Australia),2022-07-05,2022,Gene Therapy,Neurology,21,4,4909,False,-0.253,0.1181,0.0952,143337.4,100000,61011288.81,Moderate,7.05,6.56,4.22,Restricted,0.534,4,2,True,False
