study_id,author,year,journal,pmid,intervention,comparator,mean_intervention,sd_intervention,n_intervention,mean_comparator,sd_comparator,n_comparator,outcome,age_mean,percent_male,rob_overall,disease,intervention_class,industry_funded
CONT001,Miller,2021,Pain,33123456,Analgesic A 100mg,Placebo,4.2,1.5,85,5.8,1.6,82,Pain Score (VAS 0-10),52.3,45,low,Chronic pain,NSAID,yes
CONT002,Clark,2020,J Pain,32234567,Analgesic A 100mg,Placebo,3.9,1.4,95,5.5,1.7,90,Pain Score (VAS 0-10),54.7,48,low,Chronic pain,NSAID,no
CONT003,Lewis,2022,Clin J Pain,34456789,Analgesic A 100mg,Placebo,4.5,1.6,75,6.1,1.8,78,Pain Score (VAS 0-10),51.2,42,unclear,Chronic pain,NSAID,yes
CONT004,Walker,2019,Pain Med,31345678,Analgesic A 100mg,Placebo,4.1,1.3,100,5.9,1.5,98,Pain Score (VAS 0-10),53.8,50,low,Chronic pain,NSAID,no
CONT005,Hall,2021,Eur J Pain,33234568,Analgesic A 100mg,Placebo,3.8,1.4,88,5.4,1.6,85,Pain Score (VAS 0-10),49.6,44,low,Chronic pain,NSAID,yes
CONT006,Young,2020,Pain Pract,32345679,Analgesic A 200mg,Placebo,3.5,1.3,92,5.7,1.7,89,Pain Score (VAS 0-10),55.2,47,low,Chronic pain,NSAID,yes
CONT007,King,2022,J Clin Pain,34567890,Analgesic A 200mg,Placebo,3.2,1.2,105,5.9,1.6,102,Pain Score (VAS 0-10),52.9,49,low,Chronic pain,NSAID,no
CONT008,Wright,2019,Reg Anesth Pain Med,31456780,Analgesic B 50mg,Placebo,4.3,1.5,78,6.2,1.8,75,Pain Score (VAS 0-10),54.1,46,unclear,Chronic pain,Opioid,yes
CONT009,Lopez_C,2021,Pain Physician,33345679,Analgesic B 50mg,Placebo,4.0,1.4,85,5.8,1.7,82,Pain Score (VAS 0-10),51.7,43,low,Chronic pain,Opioid,yes
CONT010,Hill,2020,Anesth Analg,32456781,Analgesic B 100mg,Placebo,3.7,1.3,95,6.0,1.6,92,Pain Score (VAS 0-10),53.4,48,low,Chronic pain,Opioid,no
CONT011,Green,2022,Br J Anaesth,34678901,Analgesic C 25mg,Placebo,5.1,1.6,70,6.5,1.9,68,Pain Score (VAS 0-10),56.3,51,high,Neuropathic pain,Anticonvulsant,yes
CONT012,Adams,2019,Neurology,31567891,Analgesic C 25mg,Placebo,4.8,1.5,80,6.3,1.8,78,Pain Score (VAS 0-10),54.8,49,low,Neuropathic pain,Anticonvulsant,no
CONT013,Baker,2021,J Neurol,33456780,Analgesic C 50mg,Placebo,4.4,1.4,90,6.1,1.7,88,Pain Score (VAS 0-10),55.6,52,low,Neuropathic pain,Anticonvulsant,yes
CONT014,Carter,2020,Pain Res Manag,32567892,Analgesic C 50mg,Placebo,4.1,1.3,85,5.9,1.6,83,Pain Score (VAS 0-10),53.2,47,low,Neuropathic pain,Anticonvulsant,no
CONT015,Davis_C,2022,Clin Ther,34789012,Antidepressant A 20mg,Placebo,12.5,3.2,110,17.8,3.8,108,Depression Score (HAM-D),45.3,38,low,Depression,SSRI,yes
CONT016,Evans,2019,J Affect Disord,31678902,Antidepressant A 20mg,Placebo,13.1,3.4,95,18.2,3.9,92,Depression Score (HAM-D),46.7,40,low,Depression,SSRI,no
CONT017,Foster,2021,Depress Anxiety,33567892,Antidepressant A 40mg,Placebo,11.8,3.1,105,17.5,3.7,102,Depression Score (HAM-D),44.9,35,low,Depression,SSRI,yes
CONT018,Gray,2020,Int Clin Psychopharmacol,32678903,Antidepressant A 40mg,Placebo,12.2,3.3,90,18.0,3.8,88,Depression Score (HAM-D),47.2,42,unclear,Depression,SSRI,yes
CONT019,Howard,2022,Psychopharmacology,34890123,Antidepressant B 150mg,Placebo,13.4,3.5,88,18.5,4.0,85,Depression Score (HAM-D),48.1,39,low,Depression,SNRI,no
CONT020,Irving,2019,J Clin Psychiatry,31789013,Antidepressant B 150mg,Placebo,12.7,3.2,100,17.9,3.9,98,Depression Score (HAM-D),45.8,37,low,Depression,SNRI,yes
CONT021,James,2021,Biol Psychiatry,33678903,Cognitive Therapy,Usual care,14.2,3.6,75,19.1,4.2,73,Depression Score (HAM-D),46.4,41,low,Depression,Psychotherapy,no
CONT022,Kelly,2020,Am J Psychiatry,32789014,Cognitive Therapy,Usual care,13.8,3.4,82,18.7,4.1,80,Depression Score (HAM-D),47.6,43,low,Depression,Psychotherapy,no
CONT023,Lee,2022,JAMA Psychiatry,34901234,Exercise Program,Control,6.2,1.8,95,8.5,2.1,92,Anxiety Score (GAD-7),42.3,48,low,Anxiety,Lifestyle,no
CONT024,Morgan,2019,J Anxiety Disord,31890124,Exercise Program,Control,6.5,1.9,85,8.8,2.2,83,Anxiety Score (GAD-7),43.7,50,unclear,Anxiety,Lifestyle,no
CONT025,Nelson,2021,Behav Res Ther,33789014,CBT,Wait list,5.8,1.7,105,9.1,2.3,102,Anxiety Score (GAD-7),44.2,46,low,Anxiety,Psychotherapy,no
