hta_id,technology_name,manufacturer,therapeutic_area,indication,comparator,regulatory_body,decision_year,clinical_outcome_primary,relative_effect_rr_or_hr,ci_lower,ci_upper,p_value,qaly_gain,icer_per_qaly,budget_impact_millions,recommendation,evidence_quality,innovation_score,unmet_need,patient_population_size,cost_per_patient_year,safety_grade,implementation_feasibility,country
HTA001,Pembrolizumab,Merck,Oncology,Advanced NSCLC - 1st line,Chemotherapy,NICE,2020,Overall Survival,0.68,0.58,0.79,0.001,1.85,42500,185,Approved,High,9,High,45000,125000,A,High,UK
HTA002,Nivolumab + Ipilimumab,Bristol Myers Squibb,Oncology,Advanced melanoma,Nivolumab monotherapy,EMA,2021,Progression-free Survival,0.58,0.46,0.73,0.001,2.12,38900,210,Approved,High,8,High,12000,165000,A,High,EU
HTA003,Atezolizumab,Roche,Oncology,Extensive-stage SCLC,Chemotherapy,FDA,2019,Overall Survival,0.71,0.61,0.83,0.001,1.42,56800,95,Approved,High,7,Moderate,18000,142000,B,High,USA
HTA004,Durvalumab,AstraZeneca,Oncology,Stage III NSCLC - consolidation,Observation,CADTH,2021,Progression-free Survival,0.52,0.42,0.65,0.001,3.24,28500,125,Approved,High,9,High,25000,95000,A,High,Canada
HTA005,Avelumab,Merck,Oncology,Metastatic Merkel cell carcinoma,Chemotherapy,PBAC,2020,Overall Survival,0.64,0.49,0.84,0.002,1.78,48900,15,Conditional,Moderate,7,Very high,800,158000,B,Moderate,Australia
HTA006,Trastuzumab deruxtecan,Daiichi Sankyo,Oncology,HER2+ metastatic breast cancer,T-DM1,NICE,2022,Progression-free Survival,0.28,0.22,0.37,0.001,2.45,52300,145,Approved,High,9,High,38000,168000,A,High,UK
HTA007,Sacituzumab govitecan,Gilead,Oncology,Triple-negative breast cancer,Chemotherapy,EMA,2021,Progression-free Survival,0.41,0.32,0.52,0.001,1.92,61200,98,Conditional,High,8,Very high,22000,185000,B,Moderate,EU
HTA008,Enfortumab vedotin,Astellas,Oncology,Advanced urothelial cancer,Chemotherapy,FDA,2021,Overall Survival,0.70,0.56,0.89,0.003,1.54,58400,72,Approved,High,8,High,15000,142000,B,High,USA
HTA009,Belantamab mafodotin,GSK,Oncology,Relapsed/refractory multiple myeloma,Pomalidomide + dex,CADTH,2022,Progression-free Survival,0.78,0.63,0.97,0.024,1.28,72500,48,Conditional,Moderate,6,Moderate,8500,125000,C,Moderate,Canada
HTA010,Tafasitamab,MorphoSys,Oncology,Diffuse large B-cell lymphoma,Historical control,PBAC,2021,Overall Survival,0.72,0.58,0.89,0.003,1.65,68900,38,Conditional,Moderate,7,High,6200,152000,B,Moderate,Australia
