cea_id,author,year,journal,pmid,intervention,comparator,disease_indication,country,currency,perspective,time_horizon_years,discount_rate_costs,discount_rate_effects,cost_intervention,cost_comparator,incremental_cost,qaly_intervention,qaly_comparator,incremental_qaly,icer_per_qaly,wtp_threshold,cost_effective,probability_cost_effective,sensitivity_analysis_robust,budget_impact_year1_millions,budget_impact_year5_millions,therapeutic_area,model_type,data_source
CEA001,Smith et al,2020,Lancet,32123456,Pembrolizumab,Chemotherapy,Advanced NSCLC - 1st line,UK,GBP,NHS,10,0.035,0.035,125000,45000,80000,4.85,3.12,1.73,46243,30000,Yes,0.82,Yes,185,850,Oncology,Markov,Clinical trial + registry
CEA002,Jones et al,2021,Value Health,33234567,Nivolumab + Ipilimumab,Nivolumab,Advanced melanoma,USA,USD,Healthcare system,15,0.03,0.03,285000,165000,120000,7.42,5.18,2.24,53571,150000,Yes,0.76,Yes,210,920,Oncology,Partitioned survival,RCT data
CEA003,Chen et al,2019,PharmacoEconomics,31345678,Atezolizumab,Chemotherapy,Extensive SCLC,China,CNY,Societal,5,0.05,0.05,650000,280000,370000,3.82,2.28,1.54,240260,108000,No,0.28,No,95,420,Oncology,Decision tree,Meta-analysis
CEA004,Davis et al,2022,NEJM,34456789,Durvalumab,Observation,Stage III NSCLC,Canada,CAD,Payer,10,0.015,0.015,95000,12000,83000,8.45,5.12,3.33,24925,50000,Yes,0.94,Yes,125,580,Oncology,Markov,Trial extrapolation
CEA005,Garcia et al,2020,BMJ,32567890,Trastuzumab deruxtecan,T-DM1,HER2+ breast cancer,Spain,EUR,Healthcare system,8,0.03,0.03,168000,112000,56000,6.28,3.72,2.56,21875,30000,Yes,0.88,Yes,145,685,Oncology,Partitioned survival,Clinical trial
CEA006,Wilson et al,2021,Health Economics,33678901,CAR-T therapy,Standard therapy,DLBCL - R/R,Germany,EUR,Societal,15,0.03,0.03,450000,85000,365000,9.85,4.25,5.60,65179,50000,No,0.42,Uncertain,95,425,Oncology,Markov,Registry data
CEA007,Martinez et al,2019,JAMA Oncol,31789012,Osimertinib,Gefitinib,EGFR+ NSCLC,Mexico,MXN,Healthcare system,10,0.05,0.05,1850000,650000,1200000,6.42,4.18,2.24,535714,430000,No,0.32,No,72,340,Oncology,Partitioned survival,RCT
CEA008,Anderson_B,2022,MDM,34890123,Guselkumab,Adalimumab,Plaque psoriasis,USA,USD,Payer,30,0.03,0.03,485000,325000,160000,22.85,21.42,1.43,111888,150000,Yes,0.68,Yes,165,780,Dermatology,Markov,Trial + real-world
CEA009,Brown_D,2020,Rheumatology,32901234,Upadacitinib,Adalimumab,Rheumatoid arthritis,UK,GBP,NHS,20,0.035,0.035,142000,95000,47000,14.85,13.92,0.93,50538,30000,No,0.38,No,128,595,Rheumatology,Markov,Meta-analysis
CEA010,Clark_E,2021,Mult Scler J,33012345,Ozanimod,Interferon beta,Relapsing MS,Australia,AUD,Healthcare system,25,0.05,0.05,875000,625000,250000,16.42,14.28,2.14,116822,75000,No,0.44,Uncertain,125,582,Neurology,Markov,Clinical trial
